iter	Passed	Remaining
142	708	4244
143	710	4222
144	712	4200
145	714	4178
146	716	4159
147	721	4152
148	723	4132
149	725	4113
150	728	4093
151	730	4073
152	733	4059
153	736	4043
154	738	4026
155	740	4008
156	743	3989
157	745	3970
158	748	3956
159	750	3941
160	751	3918
161	754	3900
162	756	3882
163	758	3865
164	760	3848
165	763	3837
166	765	3819
167	767	3802
168	769	3785
169	771	3768
170	773	3751
171	776	3738
172	779	3726
173	781	3711
174	784	3696
175	786	3681
176	788	3665
177	790	3651
178	793	3641
179	796	3626
180	798	3611
181	800	3596
182	802	3581
183	804	3566
184	807	3557
185	809	3542
186	811	3528
187	813	3514
188	815	3499
189	817	3486
190	820	3473
191	823	3463
192	825	3450
193	827	3438
194	829	3425
195	832	3413
196	834	3401
197	837	3393
198	840	3381
199	842	3369
200	844	3357
201	846	3345
202	849	3334
203	852	3326
204	854	3314
205	856	3302
206	858	3289
207	860	3277
208	862	3265
209	865	3257
210	868	3247
211	870	3236
212	872	3225
213	874	3213
214	876	3201
215	879	3193
216	882	3184
217	884	3172
218	886	3162
219	890	3156
220	892	3146
221	896	3140
222	898	3130
223	900	3119
224	902	3108
225	904	3097
226	912	3107
227	915	3099
228	918	3091
229	920	3082
230	924	3077
231	931	3083
232	933	3073
233	936	3064
234	939	3057
235	942	3050
236	944	3041
237	947	3034
238	950	3025
239	961	3046
240	965	3040
241	971	3041
242	974	3035
243	977	3030
244	980	3021
245	986	3022
246	990	3019
247	993	3011
248	995	3002
249	1002	3008
250	1005	3000
251	1008	2992
252	1013	2993
253	1019	2992
254	1021	2984
255	1024	2976
256	1028	2973
257	1031	2967
258	1034	2960
259	1037	2953
260	1045	2959
261	1048	2954
262	1051	2947
263	1054	2939
264	1057	2931
265	1059	2924
266	1069	2934
267	1071	2926
268	1073	2918
269	1077	2914
270	1080	2906
271	1083	2900
272	1086	2893
273	1089	2885
274	1092	2880
275	1095	2873
276	1097	2865
277	1105	2872
278	1108	2865
279	1111	2857
280	1114	2851
281	1117	2844
282	1122	2842
283	1127	2842
284	1130	2837
285	1138	2842
286	1151	2860
287	1155	2855
288	1158	2850
289	1163	2848
290	1166	2841
291	1168	2833
292	1171	2826
293	1174	2819
294	1178	2815
295	1181	2809
296	1183	2802
297	1188	2800
298	1191	2793
299	1196	2790
300	1198	2783
301	1201	2777
302	1204	2770
303	1207	2764
304	1212	2762
305	1215	2756
306	1218	2749
307	1222	2747
308	1227	2745
309	1233	2746
310	1237	2741
311	1243	2741
312	1245	2733
313	1248	2726
314	1250	2718
315	1252	2711
316	1256	2708
317	1259	2700
318	1262	2694
319	1265	2688
320	1267	2682
321	1271	2677
322	1274	2670
323	1276	2664
324	1279	2657
325	1282	2650
326	1285	2645
327	1288	2639
328	1290	2631
329	1292	2623
330	1294	2616
331	1296	2609
332	1301	2606
333	1303	2599
334	1306	2592
335	1308	2585
336	1310	2577
337	1312	2570
338	1317	2568
339	1320	2563
340	1323	2557
341	1325	2551
342	1328	2545
343	1331	2538
344	1334	2532
345	1337	2529
346	1346	2533
347	1353	2536
348	1356	2529
349	1362	2529
350	1364	2523
351	1367	2517
352	1370	2511
353	1378	2514
354	1380	2508
355	1383	2502
356	1385	2496
357	1391	2494
358	1396	2492
359	1399	2487
360	1405	2487
361	1410	2486
362	1417	2486
363	1423	2486
364	1425	2480
365	1428	2474
366	1431	2468
367	1435	2465
368	1438	2459
369	1441	2453
370	1444	2448
371	1446	2442
372	1454	2444
373	1457	2439
374	1460	2434
375	1468	2436
376	1471	2431
377	1474	2425
378	1481	2427
379	1484	2422
380	1487	2416
381	1490	2411
382	1500	2417
383	1504	2412
384	1506	2407
385	1511	2403
386	1517	2403
387	1521	2399
388	1526	2397
389	1531	2395
390	1534	2390
391	1537	2384
392	1545	2386
393	1548	2382
394	1552	2378
395	1555	2372
396	1560	2369
397	1563	2364
398	1566	2358
399	1568	2353
400	1571	2347
401	1575	2343
402	1578	2338
403	1581	2332
404	1583	2326
405	1586	2321
406	1595	2324
407	1598	2319
408	1602	2315
409	1609	2316
410	1614	2313
411	1618	2309
412	1623	2306
413	1625	2300
414	1628	2294
415	1630	2289
416	1633	2283
417	1637	2279
418	1639	2273
419	1643	2269
420	1646	2263
421	1647	2257
422	1651	2252
423	1653	2246
424	1655	2239
425	1657	2233
426	1661	2229
427	1664	2224
428	1667	2220
429	1670	2214
430	1673	2209
431	1676	2204
432	1679	2199
433	1683	2195
434	1686	2190
435	1689	2184
436	1691	2179
437	1694	2173
438	1696	2168
439	1699	2162
440	1701	2156
441	1703	2150
442	1705	2144
443	1707	2137
444	1709	2132
445	1712	2127
446	1714	2121
447	1716	2115
448	1719	2109
449	1728	2112
450	1731	2107
451	1733	2101
452	1736	2096
453	1740	2092
454	1743	2087
455	1745	2082
456	1747	2076
457	1750	2071
458	1752	2065
459	1755	2060
460	1757	2055
461	1759	2049
462	1762	2043
463	1764	2038
464	1767	2033
465	1770	2028
466	1772	2023
467	1775	2018
468	1777	2012
469	1780	2007
470	1782	2001
471	1785	1997
472	1787	1992
473	1790	1986
474	1792	1981
475	1794	1975
476	1797	1970
477	1799	1965
478	1802	1960
479	1804	1955
480	1807	1949
481	1809	1944
482	1811	1939
483	1815	1935
484	1817	1930
485	1820	1925
486	1822	1919
487	1824	1914
488	1826	1908
489	1832	1906
490	1834	1901
491	1836	1895
492	1838	1891
493	1841	1886
494	1844	1882
495	1847	1876
496	1848	1871
497	1851	1865
498	1853	1860
499	1854	1854
500	1858	1850
501	1861	1846
502	1863	1841
503	1866	1836
504	1868	1831
505	1870	1825
506	1872	1820
507	1876	1817
508	1878	1811
509	1880	1806
510	1882	1801
511	1884	1795
512	1886	1790
513	1889	1787
514	1892	1781
515	1894	1776
516	1896	1771
517	1898	1766
518	1901	1762
519	1903	1756
520	1905	1751
521	1907	1746
522	1909	1741
523	1914	1739
524	1917	1734
525	1923	1732
526	1925	1728
527	1930	1725
528	1933	1721
529	1935	1716
530	1937	1711
531	1939	1706
532	1942	1701
533	1945	1697
534	1947	1692
535	1949	1687
536	1951	1682
537	1953	1677
538	1955	1672
539	1957	1667
540	1960	1663
541	1962	1658
542	1964	1653
543	1967	1648
544	1969	1644
545	1971	1639
546	1975	1635
547	1977	1630
548	1979	1626
549	1981	1621
550	1983	1616
551	1986	1611
552	1989	1608
553	1991	1603
554	1993	1598
555	1995	1593
556	1998	1589
557	2000	1584
558	2003	1580
559	2005	1576
560	2007	1571
561	2010	1566
562	2012	1561
563	2014	1557
564	2016	1552
565	2019	1548
566	2021	1544
567	2023	1539
568	2026	1534
569	2028	1529
570	2030	1525
571	2033	1521
572	2035	1516
573	2037	1512
574	2039	1507
575	2041	1502
576	2043	1498
577	2046	1493
578	2049	1489
579	2051	1485
580	2053	1480
581	2055	1476
582	2057	1471
583	2059	1467
584	2062	1462
585	2064	1458
586	2066	1454
587	2068	1449
588	2070	1445
589	2073	1440
590	2075	1436
591	2078	1432
592	2080	1427
593	2082	1423
594	2084	1418
595	2086	1414
596	2088	1410
597	2091	1405
598	2094	1401
599	2096	1397
600	2098	1392
601	2100	1388
602	2102	1384
603	2104	1379
604	2108	1376
605	2110	1372
606	2112	1367
607	2114	1363
608	2116	1358
609	2118	1354
610	2122	1351
611	2124	1346
612	2126	1342
613	2128	1338
614	2131	1334
615	2133	1330
616	2137	1326
617	2139	1322
618	2141	1317
619	2143	1313
620	2145	1309
621	2147	1304
622	2149	1300
623	2152	1296
624	2154	1292
625	2156	1288
626	2158	1284
627	2160	1279
628	2162	1275
629	2166	1272
630	2168	1268
631	2170	1263
632	2172	1259
633	2174	1255
634	2176	1251
635	2179	1247
636	2182	1243
637	2184	1239
638	2186	1235
639	2188	1230
640	2190	1226
641	2192	1222
642	2194	1218
643	2197	1214
644	2199	1210
645	2201	1206
646	2203	1202
647	2206	1198
648	2208	1194
649	2211	1190
650	2214	1186
651	2216	1182
652	2218	1178
653	2220	1174
654	2223	1170
655	2226	1167
656	2228	1163
657	2230	1159
658	2233	1155
659	2235	1151
660	2237	1147
661	2240	1144
662	2243	1140
663	2245	1136
664	2247	1132
665	2250	1128
666	2252	1124
667	2255	1120
668	2257	1116
669	2259	1112
670	2261	1108
671	2263	1104
672	2265	1100
673	2267	1096
674	2270	1093
675	2272	1089
676	2274	1084
677	2275	1080
678	2278	1076
679	2279	1072
680	2282	1069
681	2285	1065
682	2287	1061
683	2290	1057
684	2292	1054
685	2294	1050
686	2296	1046
687	2299	1042
688	2301	1038
689	2303	1035
690	2305	1031
691	2308	1027
692	2310	1023
693	2313	1020
694	2315	1016
695	2317	1012
696	2319	1008
697	2322	1004
698	2324	1000
699	2326	997
700	2329	993
701	2332	990
702	2334	986
703	2336	982
704	2338	978
705	2341	975
706	2343	971
707	2345	967
708	2348	963
709	2350	959
710	2352	956
711	2354	952
712	2357	948
713	2359	945
714	2361	941
715	2363	937
716	2365	933
717	2367	929
718	2369	926
719	2372	922
720	2374	918
721	2376	915
722	2378	911
723	2380	907
724	2382	903
725	2385	900
726	2387	896
727	2389	892
728	2391	889
729	2393	885
730	2395	881
731	2397	877
732	2400	874
733	2402	870
734	2404	867
735	2406	863
736	2408	859
737	2410	855
738	2412	852
739	2416	849
740	2419	845
741	2421	841
742	2423	838
743	2425	834
744	2427	830
745	2431	827
746	2433	824
747	2435	820
748	2438	817
749	2440	813
750	2442	809
751	2447	807
752	2450	803
753	2452	800
754	2454	796
755	2456	792
756	2458	789
757	2461	785
758	2464	782
759	2466	778
760	2468	775
761	2470	771
762	2472	767
763	2475	764
764	2477	761
765	2479	757
766	2482	754
767	2484	750
768	2486	746
769	2488	743
770	2491	739
771	2493	736
772	2495	732
773	2497	729
774	2499	725
775	2502	722
776	2505	719
777	2507	715
778	2509	712
779	2511	708
780	2514	704
781	2516	701
782	2521	698
783	2523	695
784	2525	691
785	2527	688
786	2530	684
787	2532	681
788	2535	677
789	2537	674
790	2539	670
791	2541	667
792	2543	663
793	2545	660
794	2548	657
795	2550	653
796	2553	650
797	2555	646
798	2557	643
799	2559	639
800	2562	636
801	2565	633
802	2567	629
803	2569	626
804	2571	622
805	2573	619
806	2575	616
807	2579	612
808	2581	609
809	2583	606
810	2585	602
811	2587	599
812	2589	595
813	2593	592
814	2595	589
815	2597	585
816	2599	582
817	2602	578
818	2604	575
819	2607	572
820	2609	568
821	2611	565
822	2613	562
823	2615	558
824	2617	555
825	2619	551
826	2622	548
827	2624	545
828	2626	541
829	2628	538
830	2630	535
831	2632	531
832	2635	528
833	2638	525
834	2640	521
835	2643	518
836	2644	515
837	2646	511
838	2649	508
839	2652	505
840	2654	501
841	2656	498
842	2658	495
843	2660	491
844	2663	488
845	2666	485
846	2668	482
847	2671	478
848	2673	475
849	2675	472
850	2677	468
851	2682	465
852	2684	462
853	2686	459
854	2688	456
855	2690	452
856	2692	449
857	2696	446
858	2698	442
859	2700	439
860	2702	436
861	2704	432
862	2706	429
863	2709	426
864	2712	423
865	2714	419
866	2716	416
867	2718	413
868	2720	410
869	2722	406
870	2725	403
871	2728	400
872	2730	397
873	2732	393
874	2734	390
875	2736	387
876	2740	384
877	2742	381
878	2744	377
879	2746	374
880	2748	371
881	2750	368
882	2753	364
883	2755	361
884	2757	358
885	2759	355
886	2761	351
887	2763	348
888	2765	345
889	2770	342
890	2772	339
891	2774	335
892	2776	332
893	2778	329
894	2780	326
895	2783	323
896	2786	319
897	2788	316
898	2790	313
899	2792	310
900	2794	307
901	2796	303
902	2799	300
903	2801	297
904	2803	294
905	2805	291
906	2807	287
907	2809	284
908	2812	281
909	2815	278
910	2817	275
911	2819	272
912	2821	268
913	2823	265
914	2826	262
915	2829	259
916	2831	256
917	2833	253
918	2836	249
919	2838	246
920	2840	243
921	2843	240
922	2845	237
923	2847	234
924	2850	231
925	2852	227
926	2854	224
927	2857	221
928	2859	218
929	2862	215
930	2864	212
931	2866	209
932	2868	206
933	2871	202
934	2874	199
935	2876	196
936	2878	193
937	2880	190
938	2882	187
939	2885	184
940	2888	181
941	2890	177
942	2892	174
943	2894	171
944	2896	168
945	2898	165
946	2902	162
947	2904	159
948	2906	156
949	2908	153
950	2911	150
951	2913	146
952	2916	143
953	2918	140
954	2920	137
955	2923	134
956	2925	131
957	2927	128
958	2930	125
959	2932	122
960	2934	119
961	2936	116
962	2939	112
963	2941	109
964	2943	106
965	2946	103
966	2949	100
967	2951	97
968	2953	94
969	2955	91
970	2957	88
971	2961	85
972	2963	82
973	2965	79
974	2967	76
975	2969	73
976	2971	69
977	2975	66
978	2977	63
979	2979	60
980	2981	57
981	2984	54
982	2986	51
983	2988	48
984	2991	45
985	2993	42
986	2996	39
987	2998	36
988	3000	33
989	3002	30
990	3005	27
991	3007	24
992	3009	21
993	3012	18
994	3014	15
995	3016	12
996	3019	9
997	3021	6
998	3023	3
999	3025	0
